customer_id,first_name,last_name,email,phone,city,state,signup_date
1,Ramesh,Mehta,ramesh.mehta1@mail.com,7513893084,Madurai,Tamil Nadu,2025-12-04
2,Kiara,Verma,kiara.verma2@mail.com,8968839832,Salem,Tamil Nadu,2022-02-08
3,Anjali,Gupta,anjali.gupta3@mail.com,8992192846,Mangaluru,Karnataka,2021-06-17
4,Riya,Das,riya.das4@mail.com,9752428978,Udaipur,Rajasthan,2026-01-26
5,Priya,Kumar,priya.kumar5@mail.com,7216746518,Durgapur,West Bengal,2025-11-04
6,Kabir,Singh,kabir.singh6@mail.com,8535981679,rohini,Delhi,2023-06-27
7,Vivaan,Patel,vivaan.patel7@mail.com,8974865366,Jodhpur,Rajasthan,2021-07-02
8,Amit,Verma,amit.verma8@mail.com,7173644143,Udaipur,Rajasthan,2021-06-21
9,Pooja,Das,pooja.das9@mail.com,8308544043,Kolkata,West Bengal,2024-11-06
10,Isha,Gupta,isha.gupta10@mail.com,8006899745,Mangaluru,Karnataka,2024-12-05
11,Aarav,Verma,aarav.verma11@mail.com,7528877986,Durgapur,West Bengal,2022-11-15
12,Diya,Reddy,diya.reddy12@mail.com,7082869182,Howrah,West Bengal,2021-10-16
13,Ishaan,Patel,ishaan.patel13@mail.com,9893227045,New Delhi,Delhi,2026-06-21
14,Krishna,Pillai,krishna.pillai14@mail.com,7757625282,Siliguri,West Bengal,2023-10-03
15,Dev,Reddy,dev.reddy15@mail.com,9605918242,Madurai,Tamil Nadu,2024-05-13
16,Kabir,Pillai,kabir.pillai16@mail.com,8613134389,New Delhi,Delhi,2022-08-02
17,Kiara,Joshi,kiara.joshi17@mail.com,,Rohini,Delhi,2023-05-18
18,Sneha,Verma,sneha.verma18@mail.com,7313855209,Durgapur,West Bengal,2021-03-17
19,Diya,Menon,diya.menon19@mail.com,7992151400,Vadodara,Gujarat,2022-02-04
20,Aadhya,Patel,aadhya.patel20@mail.com,8483577854,Nashik,Maharashtra,2025-06-09
21,Priya,Reddy,priya.reddy21@mail.com,9186217518,Udaipur,Rajasthan,2024-06-26
22,Ishaan,Sharma,ishaan.sharma22@mail.com,8369264972,Salem,Tamil Nadu,2021-07-13
23,Pooja,Kumar,pooja.kumar23@mail.com,8824492677,jodhpur,Rajasthan,2024-05-18
24,Krishna,Chatterjee,krishna.chatterjee24@mail.com,9648826659,Rohini,Delhi,2023-07-05
25,Ishaan,Reddy,ishaan.reddy25@mail.com,9709799580,Pune,Maharashtra,2024-02-03
26,Aadhya,Menon,aadhya.menon26@mail.com,8819758475,Varanasi,Uttar Pradesh,2024-10-20
27,Vihaan,Verma,vihaan.verma27@mail.com,7118120974,Tiruchirapalli,Tamil Nadu,2021-09-29
28,Ramesh,Sharma,,9783280923,Mangaluru,Karnataka,2023-02-13
29,Myra,Reddy,myra.reddy29@mail.com,8855082697,Jaipur,Rajasthan,2023-02-18
30,Aadhya,Joshi,aadhya.joshi30@mail.com,9547486673,Varanasi,Uttar Pradesh,2021-05-03
31,Pooja,Verma,pooja.verma31@mail.com,8294769175,Surat,Gujarat,2023-10-24
32,Neha,Mehta,neha.mehta32@mail.com,8824662506,Dwarka,Delhi,2026-02-23
33,Vivaan,Rao,vivaan.rao33@mail.com,8869378597,Tiruchirapalli,Tamil Nadu,2025-03-23
34,Amit,Singh,amit.singh34,9151290156,Ahmedabad,Gujarat,2024-08-29
35,Rahul,Das,rahul.das35@mail.com,7418782059,Surat,Gujarat,2024-11-01
36,Dev,Verma,,7515250872,KOLKATA,West Bengal,2022-02-18
37,Anjali,Mehta,,7881918177,Hubli,Karnataka,2026-03-24
38,Rohan,Das,,8754435613,Jaipur,Rajasthan,2024-05-25
39,Ramesh,Gupta,ramesh.gupta39@mail.com,7651458916,Howrah,West Bengal,2022-03-16
40,Ishaan,Kumar,ishaan.kumar40@mail.com,7306240464,Ahmedabad,Gujarat,2025-11-02
41,Krishna,Reddy,krishna.reddy41@mail.com,7018926588,Varanasi,Uttar Pradesh,2024-01-14
42,Suresh,Iyer,suresh.iyer42,8059777821,Rajkot,Gujarat,2026-04-14
43,Lakshmi,Joshi,lakshmi.joshi43,7098491459,Hubli,Karnataka,2023-06-12
44,Aarav,Gupta,aarav.gupta44@mail.com,9093459576,Pune,Maharashtra,2022-01-02
45,Kabir,Chatterjee,kabir.chatterjee45@mail.com,7607470870,Ahmedabad,Gujarat,2023-09-13
